rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.30000000447034836 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.021401413492776942,0.021401413492776942,0.10668441570790149,1122,-0.06020574223867712,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.016547877800218665,0.016547877800218665,0.17010554340591424,1789,-0.3580906755801617,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.012055673058681117,0.012055673058681117,0.1512788818104022,1591,-0.1811189017791856,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.011133958693861882,0.011133958693861882,0.09023485784919653,949,-0.38419927915732904,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.006255912859539373,0.006255912859539373,0.07825425501568889,823,-0.34075403470604854,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.004612009269923459,0.004612009269923459,0.17771227536369688,1869,-0.2867627278600165,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0026374378887954373,0.0026374378887954373,0.07416563658838071,780,-0.29637206783279396,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.0025638368002325793,0.0025638368002325793,0.013977369972425597,147,-0.07738291548222911,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.0021846846215022404,0.0021846846215022404,0.044974802700389845,473,-0.30938636027985345,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.30000000447034836,0.0018393592815996746,0.0018393592815996746,0.01473804316820386,155,-0.13600711966714552,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.30000000447034836 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612,0.001636731054457102,0.001636731054457102,0.006275553865170676,66,0.0,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.30000000447034836,0.0016115927629352035,0.0016115927629352035,0.008367405153560901,88,-0.06820696490732106,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.30000000447034836 & common > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.00105175127703801,0.00105175127703801,0.006750974612532091,71,-0.10501810404616342,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.0006360263893379168,0.0006360263893379168,0.014452790719787011,152,-0.21680344562781484,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.30000000447034836 & common <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612,0.00032560584140932467,0.00032560584140932467,0.0017115146905010935,18,-0.07056635618209839,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & positive <= 0.30000000447034836 & common > 0.7000000178813934,0.000312636602941638,0.000312636602941638,0.0018065988399733764,19,-0.4338632006394236,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0002804410523353585,0.0002804410523353585,0.0026623561852239233,28,-0.15547495122466767,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,0.00026229465144934444,0.00026229465144934444,0.0010459256441951127,11,-0.511588145386089,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.00025106970037674486,0.00025106970037674486,0.022820195873347913,240,-0.24980853013694287,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.00017794722997043893,0.00017794722997043893,0.003423029381002187,36,-0.20882530758778253,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.00014912227753667058,0.00014912227753667058,0.0005705048968336978,6,-0.5221971124410629,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00014342275411216457,0.00014342275411216457,0.0005705048968336978,6,-0.009414429465929667,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.00014185806842791987,0.00014185806842791987,0.0008557573452505468,9,-0.09504157967037624,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated <= 0.5000000149011612,0.00013120873262075866,0.00013120873262075866,0.0008557573452505468,9,-0.41413530707359314,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.30000000447034836,6.902679762731909e-05,6.902679762731909e-05,9.508414947228297e-05,1,0.46514421701431274,3,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated > 0.5000000149011612,4.389735300572436e-05,4.389735300572436e-05,0.002757440334696206,29,-0.24489101150940204,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & positive <= 0.30000000447034836 & common <= 0.7000000178813934,4.2182284184958535e-05,4.2182284184958535e-05,0.0016164305410288106,17,-0.286906559677685,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,2.8138158665281902e-05,2.8138158665281902e-05,0.00047542074736141483,5,-0.2016248106956482,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.5000000149011612,1.153686239973973e-05,1.153686239973973e-05,0.0007606731957782637,8,-0.2456439658999443,5,rule
