rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.021716198390766488,0.021716198390766488,0.26369944962909786,1102,-0.29116215694783604,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.015046906270858744,0.015046906270858744,0.07441971763579804,311,-0.0066202969988059385,5,rule
positive > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612,0.010544258941586265,0.010544258941586265,0.2139267767408471,894,-0.2580991791565413,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934,0.008437836343490726,0.008437836343490726,0.04474754726011007,187,-0.020244738794265586,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & positive <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934,0.00644643694255078,0.00644643694255078,0.14213926776740848,594,-0.2541630390517238,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.004480655889643468,0.004480655889643468,0.031107920555156737,130,-0.06477422255736132,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.003342738863126204,0.003342738863126204,0.06771955013161043,283,-0.1594485718454152,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0028070128293492687,0.0028070128293492687,0.02129696099545346,89,-0.07700663101807069,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & positive <= 0.9000000059604645 & technically complicated <= 0.5000000149011612 & common <= 0.9000000059604645,0.0015466181348744528,0.0015466181348744528,0.0732232591529074,306,-0.18768812453045564,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934,0.0012631241742946738,0.0012631241742946738,0.008135917683656377,34,-0.0535572548122967,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0012053788371507162,0.0012053788371507162,0.006939459200765733,29,-0.035110829205348575,5,rule
positive > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.0011931458467158097,0.0011931458467158097,0.004307250538406317,18,-0.4858187701967027,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & positive <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934,0.0006643546044070574,0.0006643546044070574,0.029672170375687965,124,-0.1864202544093132,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense > 0.7000000178813934,0.00028062058952785213,0.00028062058952785213,0.0007178750897343862,3,0.1820944050947825,5,rule
